Id;Label;rank;Cluster;kingdom;phylum;class;order;family
128046591;Gemmataceae;FAMILY;47;Bacteria;Planctomycetes;Planctomycetia;Planctomycetiales;Gemmataceae
128048847;Kangiellaceae;FAMILY;47;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Kangiellaceae
128048854;Leptophryidae;FAMILY;25;Chromista;Cercozoa;Filosia;Vampyrellida;Leptophryidae
1281;Saccharomycetales;ORDER;31;Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;
1284;Chaetosphaeriales;ORDER;31;Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;
1289;Diaporthales;ORDER;31;Fungi;Ascomycota;Sordariomycetes;Diaporthales;
1290;Hypocreales;ORDER;31;Fungi;Ascomycota;Sordariomycetes;Hypocreales;
1292;Ophiostomatales;ORDER;31;Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;
1293;Liceales;ORDER;29;Protozoa;Mycetozoa;Myxomycetes;Liceales;
1298;Xylariales;ORDER;31;Fungi;Ascomycota;Sordariomycetes;Xylariales;
1299;Taphrinales;ORDER;31;Fungi;Ascomycota;Taphrinomycetes;Taphrinales;
1300;Cantharellales;ORDER;31;Fungi;Basidiomycota;Agaricomycetes;Cantharellales;
1301;Corticiales;ORDER;31;Fungi;Basidiomycota;Agaricomycetes;Corticiales;
1303;Gomphales;ORDER;31;Fungi;Basidiomycota;Agaricomycetes;Gomphales;
1304;Hymenochaetales;ORDER;31;Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;
1320;Mischococcales;ORDER;30;Chromista;Ochrophyta;Xanthophyceae;Mischococcales;
1333;Bryales;ORDER;13;Plantae;Bryophyta;Bryopsida;Bryales;
1338;Funariales;ORDER;13;Plantae;Bryophyta;Bryopsida;Funariales;
1347;Chaetophorales;ORDER;13;Plantae;Chlorophyta;Chlorophyceae;Chaetophorales;
1351;Apiales;ORDER;1;Plantae;Tracheophyta;Magnoliopsida;Apiales;
1353;Ericales;ORDER;6;Plantae;Tracheophyta;Magnoliopsida;Ericales;
1354;Fagales;ORDER;1;Plantae;Tracheophyta;Magnoliopsida;Fagales;
1359;Chlorellales;ORDER;13;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;
1369;Poales;ORDER;1;Plantae;Tracheophyta;Liliopsida;Poales;
1370;Fabales;ORDER;1;Plantae;Tracheophyta;Magnoliopsida;Fabales;
1379;Hydrogenophilales;ORDER;47;Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;
1381;Nitrosomonadales;ORDER;47;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;
1382;Desulfobacterales;ORDER;47;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;
1383;Desulfuromonadales;ORDER;47;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;
1384;Myxococcales;ORDER;45;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;
1395;Enterobacterales;ORDER;45;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;
1414;Malpighiales;ORDER;6;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;
1419844;Forficula;GENUS;3;Animalia;Arthropoda;Insecta;Dermaptera;Forficulidae
1419845;Forficula auricularia;SPECIES;13;Animalia;Arthropoda;Insecta;Dermaptera;Forficulidae
1446543;Tipula;GENUS;13;Animalia;Arthropoda;Insecta;Diptera;Culicidae
147;Blastocladiomycetes;CLASS;31;Fungi;Chytridiomycota;Blastocladiomycetes;;
1472;Pasteurellales;ORDER;47;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;
1473;Oceanospirillales;ORDER;47;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;
1474;Pseudomonadales;ORDER;47;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;
1476;Spirochaetales;ORDER;47;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;
1479;Verrucomicrobiales;ORDER;47;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;
148;Ustilaginomycetes;CLASS;31;Fungi;Basidiomycota;Ustilaginomycetes;;
1487047;Peyerimhoffia;GENUS;13;Animalia;Arthropoda;Insecta;Diptera;Sciaridae
1488203;Bradysia;GENUS;13;Animalia;Arthropoda;Insecta;Diptera;Sciaridae
1489006;Bradysia subrufescens;SPECIES;32;Animalia;Arthropoda;Insecta;Diptera;Sciaridae
149;Tremellomycetes;CLASS;31;Fungi;Basidiomycota;Tremellomycetes;;
1496;Araneae;ORDER;13;Animalia;Arthropoda;Arachnida;Araneae;
1499;Agaricales;ORDER;31;Fungi;Basidiomycota;Agaricomycetes;Agaricales;
150;Microbotryomycetes;CLASS;31;Fungi;Basidiomycota;Microbotryomycetes;;
1504935;Tipula cockerelliana;SPECIES;13;Animalia;Arthropoda;Insecta;Diptera;Culicidae
1505603;Tipula abdominalis;SPECIES;13;Animalia;Arthropoda;Insecta;Diptera;Culicidae
151;Exobasidiomycetes;CLASS;31;Fungi;Basidiomycota;Exobasidiomycetes;;
152;Cystobasidiomycetes;CLASS;31;Fungi;Basidiomycota;Cystobasidiomycetes;;
