;consumer_gbif_key;consumer_rank;consumer_name;interaction_type;resource_name;resource_gbif_key;resource_rank;reference;remark
180;7965484;SPECIES;Telostomatella ferroi;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
181;7439614;SPECIES;Tricoronella pulchra;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
182;8199022;SPECIES;Uroleptus lepisma;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
183;7907886;SPECIES;Uroleptus notabilis;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
184;8283897;SPECIES;Uronema nigricans;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
185;8196207;SPECIES;Urosoma cienkowskii;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
186;7623590;SPECIES;Urosoma karinae;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
187;8298972;SPECIES;Urosomoida antarctica;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
188;5262297;SPECIES;Phoma herbarum;parasiteOf;Arachis hypogaea;5353770;SPECIES;FungalDataBase;
189;2130185;SPECIES;Tetranychus urticae;parasiteOf;Arachis hypogaea;5353770;SPECIES;https://www.cabi.org/isc/datasheet/53366;
190;3451388;SPECIES;Cordyceps cylindrica;parasiteOf;Araneae;1496;ORDER;http://cordyceps.us/species/cordyceps/cylindrica;
191;1419844;GENUS;Forficula;eats;Araneae;1496;ORDER;albouy & Caussanel (1990) Faune de France 75.;
192;4080;FAMILY;Geophilidae;eats;Araneae;1496;ORDER;0.1111/oik.04885;
193;5540;FAMILY;Lithobiidae;eats;Araneae;1496;ORDER;0.1111/oik.04885;
194;9357423;GENUS;Lithobius;eats;Araneae;1496;ORDER;Lewis (2006) The biology of centipedes;
195;1247492;GENUS;Notiophilus;eats;Araneae;1496;ORDER;betsi;
196;9583;FAMILY;Theridiidae;eats;Araneae;1496;ORDER;;
197;8181547;SPECIES;Apoamphisiella tihanyiensis;eats;Arcellinida;760;ORDER;Foissner 1998;
198;8307655;SPECIES;Australocirrus oscitans;eats;Arcellinida;760;ORDER;Foissner 1998;
199;7644213;SPECIES;Australothrix alwinae;eats;Arcellinida;760;ORDER;Foissner 1998;
200;7520435;SPECIES;Australothrix australis;eats;Arcellinida;760;ORDER;Foissner 1998;
201;8280112;SPECIES;Bakuella edaphoni;eats;Arcellinida;760;ORDER;Foissner 1998;
202;7429265;SPECIES;Bicoronella costaricana;eats;Arcellinida;760;ORDER;Foissner 1998;
203;8312067;SPECIES;Bursaria truncatella;eats;Arcellinida;760;ORDER;Foissner 1998;
204;7918976;SPECIES;Cyrtobymena citrina;eats;Arcellinida;760;ORDER;Foissner 1998;
205;7759386;SPECIES;Cyrtobymena muscorum;eats;Arcellinida;760;ORDER;Foissner 1998;
206;7417909;SPECIES;Cyrtohymena australis;eats;Arcellinida;760;ORDER;Foissner 1998;
207;8028830;SPECIES;Dimacrocaryon amphileptoides;eats;Arcellinida;760;ORDER;Foissner 1998;
208;7981508;SPECIES;Hemiamphisiella wilberti;eats;Arcellinida;760;ORDER;Foissner 1998;
209;7933468;SPECIES;Holosticha adami;eats;Arcellinida;760;ORDER;Foissner 1998;
210;8287515;SPECIES;Holosticha australis;eats;Arcellinida;760;ORDER;Foissner 1998;
211;7876308;SPECIES;Holosticha distyla;eats;Arcellinida;760;ORDER;Foissner 1998;
212;7879294;SPECIES;Holosticha multistilata;eats;Arcellinida;760;ORDER;Foissner 1998;
213;7434181;SPECIES;Holosticha muscorum;eats;Arcellinida;760;ORDER;Foissner 1998;
214;7402425;SPECIES;Oxytricha rubripuncta;eats;Arcellinida;760;ORDER;Foissner 1998;
215;7505865;SPECIES;Paraurostyla granulifera;eats;Arcellinida;760;ORDER;Foissner 1998;
216;8038938;SPECIES;Pattersoniella vitiphila;eats;Arcellinida;760;ORDER;Foissner 1998;
217;8058651;SPECIES;Platyophrya spumacola;eats;Arcellinida;760;ORDER;Foissner 1998;
218;7501409;SPECIES;Pseudourostyla franzi;eats;Arcellinida;760;ORDER;Foissner 1998;
219;8191111;SPECIES;Tachysoma humicola;eats;Arcellinida;760;ORDER;Foissner 1998;
220;7439614;SPECIES;Tricoronella pulchra;eats;Arcellinida;760;ORDER;Foissner 1998;
221;8199022;SPECIES;Uroleptus lepisma;eats;Arcellinida;760;ORDER;Foissner 1998;
222;7907886;SPECIES;Uroleptus notabilis;eats;Arcellinida;760;ORDER;Foissner 1998;
223;7969533;SPECIES;Urosomoida agilis;eats;Arcellinida;760;ORDER;Foissner 1998;
224;7680285;SPECIES;Urostyla grandis;eats;Arcellinida;760;ORDER;Foissner 1998;
225;9426362;GENUS;Allovahlkampfia;eats;Archaea;2;KINGDOM;;
226;4378322;FAMILY;Apusomonadidae;eats;Archaea;2;KINGDOM;;pred1 assoc au substrat
227;7957238;FAMILY;Bicosoecidae;eats;Archaea;2;KINGDOM;;pred1 intercepteur
228;7807526;GENUS;Bodo;eats;Archaea;2;KINGDOM;;
229;2164;FAMILY;Cercomonadidae;eats;Archaea;2;KINGDOM;;pred1 assoc au substrat
230;3235907;FAMILY;Chlamydophryidae;eats;Archaea;2;KINGDOM;;pred1 assoc au substrat
231;7073563;CLASS;Chrysophyceae;eats;Archaea;2;KINGDOM;;pred1 intercepteur
232;4905099;FAMILY;Echinamoebidae;eats;Archaea;2;KINGDOM;;pred1 assoc au substrat
233;6584;FAMILY;Euglyphidae;eats;Archaea;2;KINGDOM;;pred1 assoc au substrat
234;2171;FAMILY;Hartmannellidae;eats;Archaea;2;KINGDOM;;pred1 assoc au substrat
235;4900802;FAMILY;Heteromitidae;eats;Archaea;2;KINGDOM;;pred1 assoc au substrat
236;4893086;GENUS;Leptomyxa reticulata;eats;Archaea;2;KINGDOM;;
237;4581;FAMILY;Mallomonadaceae;eats;Archaea;2;KINGDOM;;pred1 intercepteur
238;8699;FAMILY;Myxochloridaceae;eats;Archaea;2;KINGDOM;;pred1 intercepteur
239;9171551;GENUS;Neobodo designis;eats;Archaea;2;KINGDOM;;
240;7457456;SPECIES;Obertrumia georgiana;eats;Archaea;2;KINGDOM;;
241;4579;FAMILY;Ochromonadaceae;eats;Archaea;2;KINGDOM;;pred1 intercepteur
242;8006472;CLASS;Oligohymenophorea;eats;Archaea;2;KINGDOM;;pred1 intercepteur
243;6585;FAMILY;Paulinellidae;eats;Archaea;2;KINGDOM;;pred1 assoc au substrat
